Macedonia	Skopje	41.9973462	21.4279956	Europe/Skopje	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-skopje-macedonia
Mexico	Oaxaca	17.0594169	-96.7216219	America/Mexico_City	-5.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-oaxaca-mexico
New Zealand	Auckland	-36.8484597	174.7633315	Pacific/Auckland	13.0	http://coderetreat.org/events/global-day-of-coderetreat-auckland-new-zealand-1
New Zealand	Auckland	-36.8484597	174.7633315	Pacific/Auckland	13.0	http://coderetreat.org/events/global-day-of-coderetreat-auckland-movio
PHILIPPINES	QUEZON CITY	14.6760413	121.0437003	Asia/Manila	8.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-quezon-city-philippines
POLAND	POZNAŃ	52.406374	16.9251681	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-pozna-poland
Peru	Lima	-12.046374	-77.0427934	America/Lima	-5.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-lima-peru
Poland	Gdansk	54.35202520000001	18.6466384	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-gdansk-poland
Poland	Katowice	50.26489189999999	19.0237815	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-katowice-poland
Poland	Kraków	50.06465009999999	19.9449799	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-code-retreat-krak-w-2016
Poland	Poznan	52.406374	16.9251681	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-poznan-poland
Poland	Warsaw	52.2296756	21.0122287	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-warsaw-poland
Poland	Wroclaw	51.1078852	17.0385376	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-wroclaw-poland
Poland	Zielona Góra	51.9356214	15.5061862	Europe/Warsaw	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-zielona-g-ra-poland
Romania	Bucharest	44.4267674	26.1025384	Europe/Bucharest	3.0	http://coderetreat.org/events/global-day-of-code-retreat-2016-bucharest-romania
Romania	Cluj-Napoca	46.7712101	23.6236353	Europe/Bucharest	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-cluj-napoca-romania
Romania	Global Day of Coderetreat 2016 in Iasi	47.1584549	27.6014418	Europe/Bucharest	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-in-iasi-romania
Romania	Tirgu-Mures	46.5385862	24.5514392	Europe/Bucharest	3.0	http://coderetreat.org/events/global-day-of-coderetreat-tirgu-mures
Russia	Izhevsk	56.86186009999999	53.2324285	Europe/Samara	4.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-izhevsk-russia
Russia	Tver	56.85872140000001	35.9175965	Europe/Moscow	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-tver-russia
Russia	Tyumen	57.1612975	65.5250172	Asia/Yekaterinburg	5.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-tyumen-russia
SPAIN	LOGROÑO	42.4627195	-2.4449852	Europe/Madrid	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-logro-o-spain
South Africa	Cape Town	-33.9248685	18.4240553	Africa/Johannesburg	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-cape-town-south-africa
South Africa	Durban	-29.85868039999999	31.0218404	Africa/Johannesburg	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-durban-south-africa
South Africa	Gauteng	-26.2707593	28.1122679	Africa/Johannesburg	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-gauteng-south-africa
South Africa	Johannesburg	-26.2041028	28.0473051	Africa/Johannesburg	2.0	http://coderetreat.org/events/global-day-of-code-retreat-johannesburg-south-africa
Spain	Barcelona	41.3850639	2.1734035	Europe/Madrid	2.0	http://coderetreat.org/events/global-day-of-coderetreat-barcelona
Spain	Ciudad Real	38.9848295	-3.927377799999999	Europe/Madrid	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-ciudad-real-spain
Spain	Las Palmas de Gran Canaria	28.1235459	-15.4362574	Atlantic/Canary	1.0	http://coderetreat.org/events/global-day-of-code-retreat-las-palmas-de-gran-canaria-spain
Spain	Pamplona, Navarra	42.812526	-1.6457745	Europe/Madrid	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-mutilva-navarra-spain
Spain	Valencia	39.4699075	-0.3762881	Europe/Madrid	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-valencia-spain
Switzerland	Bern	46.9479739	7.4474468	Europe/Zurich	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-bern-switzerland
Switzerland	St. Gallen	47.4244818	9.3767173	Europe/Zurich	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-st-gallen-switzerland
Switzerland	Zurich	47.3768866	8.541694	Europe/Zurich	2.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-zurich-switzerland
Turkey	Istanbul	41.0082376	28.9783589	Europe/Istanbul	3.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-istanbul-turkey
Turkey	İstanbul	41.0082376	28.9783589	Europe/Istanbul	3.0	http://coderetreat.org/events/global-day-of-code-retreat-stanbul
UK	London	51.5073509	-0.1277583	Europe/London	1.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-london-uk
UK	London	51.5073509	-0.1277583	Europe/London	1.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-london-uk-1
UK	Newbury	51.401409	-1.3231139	Europe/London	1.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-newbury-uk
UK	Oxford	51.7520209	-1.2577263	Europe/London	1.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-learn-practice-master-the
US	New York	40.7127837	-74.0059413	America/New_York	-4.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-new-york-us
US	San Francisco	37.7749295	-122.4194155	America/Los_Angeles	-7.0	http://coderetreat.org/events/global-day-of-code-retreat-2016-san-francisco-us
USA	Atlanta, GA	33.7489954	-84.3879824	America/New_York	-4.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-atlanta-ga-usa
USA	Bend, OR	44.0581728	-121.3153096	America/Los_Angeles	-7.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-bend-or-usa
USA	Chicago, IL	41.8781136	-87.6297982	America/Chicago	-5.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-chicago-il-usa
USA	Columbus, OH	39.9611755	-82.99879419999999	America/New_York	-4.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-columbus-oh-usa
USA	Des Moines, IA	41.6005448	-93.6091064	America/Chicago	-5.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-des-moines-ia-usa
USA	NEW YORK CITY	40.7127837	-74.0059413	America/New_York	-4.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-new-york-city
USA	Portland	45.5230622	-122.6764816	America/Los_Angeles	-7.0	http://coderetreat.org/events/global-day-of-coderetreat-5
USA	Portland, OR	45.5230622	-122.6764816	America/Los_Angeles	-7.0	http://coderetreat.org/events/global-day-of-coderetreat-portland-or-usa
USA	Rochester, NY	43.16103	-77.6109219	America/New_York	-4.0	http://coderetreat.org/events/code-retreat-rochester-ny-2
USA	San Diego	32.715738	-117.1610838	America/Los_Angeles	-7.0	http://coderetreat.org/events/global-day-of-code-retreat-hosted-by-pluralsight-san-diego
United States of America (USA)	Salt Lake City, Utah	40.7607793	-111.8910474	America/Denver	-6.0	http://coderetreat.org/events/global-day-of-coderetreat-2016-salt-lake-city-utah-united-states
VA	Arlington	38.8799697	-77.1067698	America/New_York	-4.0	http://coderetreat.org/events/global-day-of-coderetreat-2014-5
